3,1,0,0.956955,262,105,1657,381,-1,-1,-1,-1
4,1,0,0.956516,261,104,1658,382,-1,-1,-1,-1
5,1,0,0.956625,261,104,1657,382,-1,-1,-1,-1
6,1,0,0.956442,259,105,1660,381,-1,-1,-1,-1
7,1,0,0.956514,260,105,1658,382,-1,-1,-1,-1
8,1,0,0.956138,260,103,1658,384,-1,-1,-1,-1
9,1,0,0.956089,259,102,1656,386,-1,-1,-1,-1
10,1,0,0.956821,260,100,1643,388,-1,-1,-1,-1
11,1,0,0.954942,262,99,1653,389,-1,-1,-1,-1
12,1,0,0.953189,263,100,1656,388,-1,-1,-1,-1
13,1,0,0.948782,263,99,1656,389,-1,-1,-1,-1
14,1,0,0.944382,261,107,1655,379,-1,-1,-1,-1
15,1,0,0.944216,257,120,1655,365,-1,-1,-1,-1
15,2,1,0.902829,1694,96,225,539,-1,-1,-1,-1
16,1,0,0.940355,265,129,1630,357,-1,-1,-1,-1
16,2,1,0.9181,1652,97,267,538,-1,-1,-1,-1
17,1,0,0.931197,255,127,1646,359,-1,-1,-1,-1
17,2,1,0.915163,1625,99,294,540,-1,-1,-1,-1
18,1,0,0.934488,267,128,1623,358,-1,-1,-1,-1
18,2,1,0.923405,1598,99,321,543,-1,-1,-1,-1
19,1,0,0.940437,267,125,1626,362,-1,-1,-1,-1
19,2,1,0.917769,1590,96,329,557,-1,-1,-1,-1
20,1,0,0.938762,268,125,1626,362,-1,-1,-1,-1
20,2,1,0.920561,1575,98,344,557,-1,-1,-1,-1
21,1,0,0.941629,267,126,1626,360,-1,-1,-1,-1
21,2,1,0.9284,1569,100,350,555,-1,-1,-1,-1
22,1,0,0.941007,268,125,1623,361,-1,-1,-1,-1
22,2,1,0.921263,1574,99,344,557,-1,-1,-1,-1
23,1,0,0.940319,268,124,1621,362,-1,-1,-1,-1
23,2,1,0.92518,1571,98,348,559,-1,-1,-1,-1
24,1,0,0.942002,268,124,1622,361,-1,-1,-1,-1
24,2,1,0.927164,1564,100,355,556,-1,-1,-1,-1
25,1,0,0.940054,266,127,1627,359,-1,-1,-1,-1
25,2,1,0.931209,1564,100,355,555,-1,-1,-1,-1
26,1,0,0.94092,267,127,1625,359,-1,-1,-1,-1
26,2,1,0.931145,1563,99,356,557,-1,-1,-1,-1
27,1,0,0.941092,267,127,1626,358,-1,-1,-1,-1
27,2,1,0.931065,1564,99,355,556,-1,-1,-1,-1
28,1,0,0.938406,267,127,1625,359,-1,-1,-1,-1
28,2,1,0.931893,1567,99,352,557,-1,-1,-1,-1
29,1,0,0.938532,268,126,1625,359,-1,-1,-1,-1
29,2,1,0.930224,1567,100,352,556,-1,-1,-1,-1
30,1,0,0.937678,267,126,1627,358,-1,-1,-1,-1
30,2,1,0.93052,1565,100,354,555,-1,-1,-1,-1
31,1,0,0.937768,267,127,1627,356,-1,-1,-1,-1
31,2,1,0.930768,1567,101,352,555,-1,-1,-1,-1
32,1,0,0.940192,267,128,1624,356,-1,-1,-1,-1
32,2,1,0.930073,1569,100,350,556,-1,-1,-1,-1
33,1,0,0.940279,268,128,1624,356,-1,-1,-1,-1
33,2,1,0.931296,1568,100,351,556,-1,-1,-1,-1
34,1,0,0.940764,269,128,1623,356,-1,-1,-1,-1
34,2,1,0.932414,1567,100,352,556,-1,-1,-1,-1
35,1,0,0.939267,269,127,1624,358,-1,-1,-1,-1
35,2,1,0.933615,1569,100,350,556,-1,-1,-1,-1
36,1,0,0.939557,268,127,1624,358,-1,-1,-1,-1
36,2,1,0.93108,1572,101,347,555,-1,-1,-1,-1
37,1,0,0.938948,268,126,1624,359,-1,-1,-1,-1
37,2,1,0.929526,1569,100,350,556,-1,-1,-1,-1
38,1,0,0.94003,267,127,1626,357,-1,-1,-1,-1
38,2,1,0.927496,1570,100,349,555,-1,-1,-1,-1
39,1,0,0.939848,269,128,1624,357,-1,-1,-1,-1
39,2,1,0.929949,1569,101,350,555,-1,-1,-1,-1
40,1,0,0.938955,269,128,1625,356,-1,-1,-1,-1
40,2,1,0.932641,1568,100,351,556,-1,-1,-1,-1
41,1,0,0.939994,270,128,1621,356,-1,-1,-1,-1
41,2,1,0.933097,1569,99,350,557,-1,-1,-1,-1
42,1,0,0.939956,268,127,1624,356,-1,-1,-1,-1
42,2,1,0.933099,1567,99,352,556,-1,-1,-1,-1
43,1,0,0.940057,269,127,1623,356,-1,-1,-1,-1
43,2,1,0.931369,1570,99,349,557,-1,-1,-1,-1
44,1,0,0.939288,269,126,1622,358,-1,-1,-1,-1
44,2,1,0.930682,1571,100,348,556,-1,-1,-1,-1
