3,1,0,0.916337,2,185,493,134,-1,-1,-1,-1
3,2,0,0.909534,673,46,1134,437,-1,-1,-1,-1
3,3,0,0.862431,821,151,490,138,-1,-1,-1,-1
3,4,1,0.672416,1721,288,198,123,-1,-1,-1,-1
3,5,1,0.359285,441,358,205,125,-1,-1,-1,-1
4,1,0,0.916437,2,185,493,134,-1,-1,-1,-1
4,2,0,0.90701,672,46,1134,437,-1,-1,-1,-1
4,3,0,0.862013,825,150,485,138,-1,-1,-1,-1
4,4,1,0.650325,1720,287,199,125,-1,-1,-1,-1
4,5,1,0.397482,441,358,205,125,-1,-1,-1,-1
5,1,0,0.914525,3,185,491,134,-1,-1,-1,-1
5,2,0,0.896184,674,51,1116,434,-1,-1,-1,-1
5,3,0,0.862072,824,149,487,140,-1,-1,-1,-1
5,4,1,0.654481,1719,287,200,125,-1,-1,-1,-1
5,5,1,0.383079,442,358,200,125,-1,-1,-1,-1
6,1,0,0.916468,2,185,492,134,-1,-1,-1,-1
6,2,0,0.90266,673,46,1133,437,-1,-1,-1,-1
6,3,0,0.865764,823,150,488,139,-1,-1,-1,-1
6,4,1,0.673434,1719,287,200,125,-1,-1,-1,-1
6,5,1,0.409776,441,358,201,125,-1,-1,-1,-1
7,1,0,0.916891,2,185,493,134,-1,-1,-1,-1
7,2,0,0.900311,676,51,1121,434,-1,-1,-1,-1
7,3,0,0.866722,822,151,490,138,-1,-1,-1,-1
7,4,1,0.690798,1720,288,199,124,-1,-1,-1,-1
7,5,1,0.386457,441,359,197,124,-1,-1,-1,-1
8,1,0,0.917892,2,185,493,134,-1,-1,-1,-1
8,2,0,0.896068,674,51,1114,435,-1,-1,-1,-1
8,3,0,0.866688,823,151,488,137,-1,-1,-1,-1
8,4,1,0.698194,1719,287,200,125,-1,-1,-1,-1
8,5,1,0.393986,440,358,207,126,-1,-1,-1,-1
9,1,0,0.917344,2,185,493,134,-1,-1,-1,-1
9,2,0,0.90233,671,46,1135,437,-1,-1,-1,-1
9,3,0,0.868249,823,151,487,137,-1,-1,-1,-1
9,4,1,0.6936,1720,288,199,124,-1,-1,-1,-1
9,5,1,0.490101,442,358,197,126,-1,-1,-1,-1
