3,1,683,188,548,215,-1,-1,-1,-1
4,1,685,187,548,215,-1,-1,-1,-1
5,1,678,188,552,215,-1,-1,-1,-1
6,1,681,188,550,214,-1,-1,-1,-1
7,1,683,188,549,213,-1,-1,-1,-1
8,1,676,188,557,214,-1,-1,-1,-1
8,3,1149,350,169,64,-1,-1,-1,-1
9,1,677,187,555,214,-1,-1,-1,-1
9,3,1147,352,170,62,-1,-1,-1,-1
10,1,681,188,549,212,-1,-1,-1,-1
11,1,677,187,551,213,-1,-1,-1,-1
12,1,676,186,552,213,-1,-1,-1,-1
12,3,1130,350,189,65,-1,-1,-1,-1
13,1,679,187,552,213,-1,-1,-1,-1
13,3,1127,349,194,67,-1,-1,-1,-1
14,1,687,188,543,212,-1,-1,-1,-1
14,3,1125,349,195,67,-1,-1,-1,-1
15,1,683,189,545,210,-1,-1,-1,-1
15,3,1129,350,190,66,-1,-1,-1,-1
16,1,686,189,543,212,-1,-1,-1,-1
17,1,687,189,543,211,-1,-1,-1,-1
18,1,683,188,544,212,-1,-1,-1,-1
19,1,687,189,540,214,-1,-1,-1,-1
20,1,681,189,544,213,-1,-1,-1,-1
21,1,684,188,539,211,-1,-1,-1,-1
22,1,683,188,536,212,-1,-1,-1,-1
23,1,681,187,540,214,-1,-1,-1,-1
23,3,1127,350,189,65,-1,-1,-1,-1
24,1,683,189,537,212,-1,-1,-1,-1
25,1,679,188,540,214,-1,-1,-1,-1
25,3,1132,350,184,66,-1,-1,-1,-1
26,1,674,188,542,216,-1,-1,-1,-1
27,1,669,189,548,216,-1,-1,-1,-1
28,1,670,189,547,213,-1,-1,-1,-1
28,3,1138,350,175,65,-1,-1,-1,-1
29,1,676,189,538,213,-1,-1,-1,-1
29,3,1142,349,170,66,-1,-1,-1,-1
30,1,676,188,539,214,-1,-1,-1,-1
30,3,1140,351,172,64,-1,-1,-1,-1
31,1,676,188,537,213,-1,-1,-1,-1
32,1,678,188,533,212,-1,-1,-1,-1
32,3,1132,351,176,63,-1,-1,-1,-1
33,1,681,189,529,212,-1,-1,-1,-1
34,1,677,189,533,213,-1,-1,-1,-1
34,3,1127,351,179,63,-1,-1,-1,-1
35,1,672,188,537,214,-1,-1,-1,-1
35,3,1123,351,181,64,-1,-1,-1,-1
36,1,668,189,539,214,-1,-1,-1,-1
36,3,1120,352,183,63,-1,-1,-1,-1
37,1,666,188,539,214,-1,-1,-1,-1
37,3,1118,352,180,62,-1,-1,-1,-1
38,1,664,189,540,212,-1,-1,-1,-1
38,3,1117,350,181,65,-1,-1,-1,-1
39,1,667,189,532,212,-1,-1,-1,-1
40,1,670,187,530,211,-1,-1,-1,-1
40,3,1121,350,174,65,-1,-1,-1,-1
41,1,673,188,524,210,-1,-1,-1,-1
41,3,1116,349,176,66,-1,-1,-1,-1
42,1,664,188,533,210,-1,-1,-1,-1
42,3,1116,349,176,66,-1,-1,-1,-1
43,1,669,188,524,209,-1,-1,-1,-1
43,3,1118,349,170,65,-1,-1,-1,-1
44,1,664,189,527,208,-1,-1,-1,-1
44,3,1116,348,173,67,-1,-1,-1,-1
45,1,669,190,519,208,-1,-1,-1,-1
45,3,1109,351,179,65,-1,-1,-1,-1
